School,Anatomy and Physiology,Astronomy,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Experimental Design,Forensics,Fossils,Geologic Mapping,Machines,Ornithology,Protein Modeling,Sounds of Music,Water Quality,Write It Do It
Troy High School CA,6,10,13,5,17,9,19,7,1,13,1,10,3,5,9,12,16,20
Mountain View High School CA,5,2,3,27,1,15,14,11,22,7,7,4,7,7,3,10,20,55
Great Neck South High School NY,21,23,8,14,28,21,21,3,47,25,5,2,9,6,43,22,17,32
Townsend Harris High School NY,20,17,29,39,12,31,29,22,9,28,4,31,27,25,24,28,6,48
William G. Enloe High School NC,10,16,36,4,2,4,6,9,19,1,16,20,12,9,2,20,13,28
North Carolina School of Science and Mathematics NC,27,8,21,20,15,30,1,18,32,22,14,6,22,31,29,8,15,5
Adlai E. Stevenson High School IL,3,9,14,16,22,1,8,4,18,5,21,8,4,21,14,3,27,42
New Trier High School IL,14,5,17,21,20,2,27,31,17,9,28,11,10,32,4,9,8,7
Northville High School MI,8,18,24,26,9,22,2,8,21,20,12,12,14,13,16,13,14,3
Pioneer High School MI,23,31,19,24,33,10,7,29,23,6,10,21,20,11,11,19,29,31
Lower Merion High School PA,13,29,2,9,6,17,4,28,15,8,27,30,8,30,1,5,7,46
Harriton High School PA,12,12,33,23,19,18,15,20,27,24,13,3,31,4,20,25,1,24
James S. Rickards High School FL,25,22,25,8,29,26,28,41,20,41,34,27,25,16,34,36,43,18
Archimedean Upper Conservatory FL,11,42,22,49,14,42,47,14,36,35,31,34,55,19,31,43,9,23
Mason High School OH,2,6,1,1,5,20,10,16,5,2,2,9,5,8,15,2,5,6
Solon High School OH,22,7,6,3,10,7,16,10,12,11,3,5,6,10,17,11,11,21
Seven Lakes High School TX,15,20,5,13,7,5,3,5,3,18,6,18,17,1,5,4,26,4
Liberal Arts and Science Academy TX,34,27,32,11,4,8,17,17,7,21,29,13,30,35,21,21,18,8
Chattahoochee High School GA,16,30,26,25,3,29,42,21,24,12,22,22,15,20,22,24,21,26
Thomas Jefferson High School for Science and Technology VA,24,15,16,15,23,25,9,33,10,16,9,28,13,24,7,7,42,22
Marquette University High School WI,28,4,37,2,13,24,18,26,6,10,25,23,2,18,12,14,24,12
