School,Anatomy and Physiology,Astronomy,Botany,Chemistry Lab,Circuit Lab,Codebusters,Data Science,Designer Genes,Detector Building,Disease Detectives,Dynamic Planet,Forensics,Fossils,Geologic Mapping,Machines,Ornithology,Protein Modeling,Solar Power,Sounds of Music,Water Quality,Total
Troy High School CA,2,2,3,4,9,5,15,4,2,1,1,12,1,3,8,19,7,15,15,8,136
Seven Lakes High School TX,1,5,14,1,1,4,11,12,8,3,2,1,5,22,9,6,3,34,11,11,164
Mason High School OH,6,3,37,26,6,3,39,21,4,13,3,8,4,5,6,1,9,6,1,3,204
William P. Clements High School TX,21,24,1,28,40,2,2,26,5,5,13,2,39,31,16,10,2,20,22,17,326
Montgomery High School NJ,12,10,32,9,12,8,4,23,23,23,10,18,27,56,12,21,26,30,6,4,366
American High School CA,20,40,30,32,24,14,30,6,17,2,19,20,13,12,22,23,8,39,2,5,378
Iolani School HI,27,14,62,10,15,19,32,10,28,9,9,5,22,6,13,37,5,2,65,6,396
Mission San Jose High School CA,16,25,10,60,29,6,117,7,1,10,4,35,9,4,1,9,40,17,4,16,420
Lower Merion High School PA,46,13,74,3,5,25,3,14,3,28,12,17,15,23,23,22,14,60,10,32,442
West Windsor-Plainsboro High School North NJ,22,27,7,33,14,52,5,1,43,16,21,15,2,15,51,12,18,3,62,47,466
Obra D. Tompkins High School TX,17,41,25,12,28,33,13,57,22,39,16,34,23,10,4,11,43,18,26,2,474
Liberal Arts and Science Academy TX,29,59,26,22,4,23,14,36,13,8,50,28,25,2,3,26,66,4,8,35,481
Chattahoochee High School GA,5,20,48,11,38,20,28,15,48,36,18,14,34,33,27,25,22,13,21,18,494
Camas High School WA,51,7,42,27,13,24,9,53,21,51,27,22,8,20,24,16,20,50,5,12,502
Stephen F. Austin High School TX,41,6,5,7,23,7,1,85,52,21,23,47,29,39,2,33,37,14,13,23,508
Temple City High School CA,32,17,22,38,25,66,21,32,41,26,8,9,20,9,19,20,44,19,19,21,508
Mountain View High School CA,49,8,31,42,8,31,16,11,20,18,6,16,21,18,25,5,27,117,56,9,534
Hillsborough High School NJ,3,11,6,15,7,60,48,13,6,4,38,19,71,50,61,47,15,7,3,55,539
Harriton High School PA,8,21,43,48,33,21,117,5,14,6,25,6,6,7,36,3,19,117,39,7,581
San Marino High School CA,9,47,28,14,45,17,27,3,39,34,28,62,33,44,50,32,13,9,29,43,606
Syosset High School NY,59,1,4,19,60,1,8,20,19,27,53,64,3,13,82,39,4,24,46,93,639
Milpitas High School CA,38,39,35,41,44,10,23,62,42,59,55,25,41,16,18,13,50,8,18,36,673
North Hollywood High School CA,48,23,2,96,22,56,31,2,34,24,15,73,35,28,37,68,1,22,43,13,673
"Middlesex County Academy for Science, Mathematics and Engineering Technologies NJ",61,18,51,17,11,12,6,41,11,50,43,52,51,60,52,63,17,10,28,40,694
Orlando Science High School FL,40,49,19,54,20,43,55,42,38,32,35,3,14,8,5,44,28,117,38,31,715
Bayard Rustin High School PA,19,69,17,23,57,29,74,22,55,19,11,72,7,37,46,35,38,53,57,1,741
Austin Area Homeschoolers TX,4,9,18,24,36,49,18,94,56,11,49,39,28,66,11,27,53,69,34,52,747
Troy Athens High School MI,13,43,50,21,49,41,50,8,47,42,32,54,42,76,30,15,23,41,59,29,765
Great Oak High School CA,45,26,49,34,63,44,20,38,50,54,45,10,45,11,35,50,32,26,79,14,770
Brookwood High School GA,11,38,117,40,46,48,117,9,16,12,37,46,30,53,47,30,21,11,36,19,784
Dulles High School TX,31,62,33,69,58,28,34,56,33,37,29,49,57,41,40,40,55,27,31,59,869
Lake Braddock Secondary School VA,37,57,27,8,74,15,47,68,18,97,36,78,40,52,45,74,39,23,16,33,884
James S. Rickards High School FL,63,12,117,117,2,16,17,18,7,57,72,21,12,24,7,24,97,117,93,34,927
Colleyville Heritage High School TX,88,56,23,37,32,65,29,59,32,72,91,83,52,49,33,52,54,1,17,15,940
Ridgefield High School CT,68,84,45,31,50,53,22,54,12,77,68,33,70,43,71,58,52,21,45,37,994
